h12	g12_3
h14	g14_0
h14	g14_1
h14	g14_2
h14	g14_3
h14	g14_4
h14	g14_5
h14	g14_6
h14	g14_7
h14	g14_9
h14	g14_10
h14	g14_11
h14	g14_12
h14	g14_13
h3	g3_1
h3	g3_4
h3	g3_7
h3	g3_9
h3	g3_10
h3	g3_11
h3	g3_12
h9	g9_1
h9	g9_2
h9	g9_3
h9	g9_4
h9	g9_6
h9	g9_7
h9	g9_11
h9	g9_12
h9	g9_15
h9	g9_16
h9	g9_10
h9	g9_13
h9	g9_14
h11	g11_0
h11	g11_1
h11	g11_2
h11	g11_3
h11	g11_4
h11	g11_5
h11	g11_6
h11	g11_7
h11	g11_8
h11	g11_9
h10	g10_1
h10	g10_4
h10	g10_6
h10	g10_9
h8	g8_0
h8	g8_1
h8	g8_2
h8	g8_3
h8	g8_4
h8	g8_10
h8	g8_15
h8	g8_16
h8	g8_17
h8	g8_18
h8	g8_11
h8	g8_12
h8	g8_13
h8	g8_14
h5	g5_0
h5	g5_1
h5	g5_2
h5	g5_4
h5	g5_5
h5	g5_8
h5	g5_9
h5	g5_12
h5	g5_13
h5	g5_14
h5	g5_15
h5	g5_10
h5	g5_11
h6	g6_1
h6	g6_4
h6	g6_5
h6	g6_6
h6	g6_7
h6	g6_14
h6	g6_15
h6	g6_20
h6	g6_21
h6	g6_10
h6	g6_11
h6	g6_9
h6	g6_12
h6	g6_13
h6	g6_18
h6	g6_19
h6	g6_16
h6	g6_17
h2	g2_0
h2	g2_2
h2	g2_3
h2	g2_4
h2	g2_5
h2	g2_6
h2	g2_8
h2	g2_9
h2	g2_16
h2	g2_10
h2	g2_11
h2	g2_13
h2	g2_14
h2	g2_15
h13	g13_0
h13	g13_1
h13	g13_2
h13	g13_3
h13	g13_4
h13	g13_5
h13	g13_6
h13	g13_7
h13	g13_8
h13	g13_9
h13	g13_10
h13	g13_11
h0	g0_2
h0	g0_4
h0	g0_6
h0	g0_9
h0	g0_10
h0	g0_11
h0	g0_7
h0	g0_8
h0	g0_18
h7	g7_1
h7	g7_2
h7	g7_3
h7	g7_6
h7	g7_7
h7	g7_8
h7	g7_9
h7	g7_10
h7	g7_11
h7	g7_12
h7	g7_14
h7	g7_15
h7	g7_16
h4	g4_0
h4	g4_1
h4	g4_4
h4	g4_5
h4	g4_8
h4	g4_11
h4	g4_15
h4	g4_13
h1	g1_0
h1	g1_1
h1	g1_2
h1	g1_3
h1	g1_4
h1	g1_6
h1	g1_12
h1	g1_13
